method,filename,nodes,initial_total_nodes,final_alive_nodes,final_alive_ratio,total_dead_nodes,initial_best_time,final_best_time,final_best_distance,cycles_completed,reoptimization_count,recluster_events,initial_num_clusters,final_num_clusters,final_total_energy,initial_total_energy,first_death_cycle,last_death_cycle,death_events_count,mean_deaths_per_event,death_rate,avg_dead_per_cycle
GA,result_nodes_150.json,150,150,130,0.8666666666666667,20,727.0754343945038,734.7539184319405,1434.4883610392606,793,2,2,14,11,264.54079270377594,15000.0,791,793,2,10.0,0.13333333333333333,0.025220680958385876
PSO,result_nodes_150.json,150,150,130,0.8666666666666667,20,729.922028164536,734.8788027928043,1470.140629434986,791,2,2,14,11,267.2614953689424,15000.0,789,791,2,10.0,0.13333333333333333,0.025284450063211124
GA,result_nodes_200.json,200,200,160,0.8,40,743.1519657500592,744.5715823645153,1461.296450307509,782,2,2,15,12,209.62557974932676,20000.0,781,782,2,20.0,0.2,0.05115089514066496
PSO,result_nodes_200.json,200,200,160,0.8,40,743.2372511741702,750.9168230494532,1445.652206065281,782,2,2,15,12,208.64033233667905,20000.0,781,782,2,20.0,0.2,0.05115089514066496
GA,result_nodes_250.json,250,250,199,0.796,51,718.9215922900823,755.3731440759432,1690.8491523532753,800,4,4,19,16,194.85159297538297,25000.0,797,800,4,12.75,0.204,0.06375
PSO,result_nodes_250.json,250,250,207,0.828,43,761.2657502130835,729.2661269306994,1888.7636789654584,773,2,2,19,17,207.60033038860132,25000.0,771,773,2,21.5,0.172,0.055627425614489
GA,result_nodes_300.json,300,300,236,0.7866666666666666,64,711.2990648538184,720.5390854662704,1859.980618592523,802,2,2,20,18,208.95460178773456,30000.0,801,802,2,32.0,0.21333333333333335,0.0798004987531172
PSO,result_nodes_300.json,300,300,238,0.7933333333333333,62,782.7570856699288,758.6634492075334,1892.7162047404613,758,1,1,20,18,215.7801372804542,30000.0,758,758,1,62.0,0.20666666666666667,0.08179419525065963
GA,result_nodes_350.json,350,350,306,0.8742857142857143,44,673.2605560865418,693.7731905460761,2264.0725126029056,829,3,3,26,24,299.5465934393763,35000.0,827,829,3,14.666666666666666,0.12571428571428572,0.05307599517490953
PSO,result_nodes_350.json,350,350,242,0.6914285714285714,108,779.088035300616,732.2252871422345,1937.0462615089261,763,3,3,26,19,245.37160978218108,35000.0,761,763,3,36.0,0.30857142857142855,0.14154652686762778
GA,result_nodes_400.json,400,400,350,0.875,50,666.6583762876247,679.5785773333403,2256.6270034654844,833,3,3,28,23,292.9111655353351,40000.0,830,833,3,16.666666666666668,0.125,0.060024009603841535
PSO,result_nodes_400.json,400,400,282,0.705,118,868.1360876394474,765.2956858698816,1848.5419434778016,715,4,4,28,19,185.49982592031782,40000.0,711,715,4,29.5,0.295,0.16503496503496504
GA,result_nodes_450.json,450,450,303,0.6733333333333333,147,684.4746226648263,690.1242461429199,2045.8202189040003,821,4,4,29,21,210.25899471813403,45000.0,818,821,4,36.75,0.32666666666666666,0.17904993909866018
PSO,result_nodes_450.json,450,450,375,0.8333333333333334,75,791.1599223176557,768.6277924338688,2316.5238968768376,754,2,2,29,25,237.1971984611927,45000.0,753,754,2,37.5,0.16666666666666666,0.09946949602122016
GA,result_nodes_500.json,500,500,439,0.878,61,673.5850656342027,685.4590330587913,2567.872531296695,827,3,3,35,29,440.2754852248591,50000.0,825,827,3,20.333333333333332,0.122,0.07376058041112454
PSO,result_nodes_500.json,500,500,336,0.672,164,934.0613515433034,808.3158086019127,2288.2484498905437,681,1,1,35,26,332.22912572652496,50000.0,681,681,1,164.0,0.328,0.24082232011747431
GA,result_nodes_550.json,550,550,395,0.7181818181818181,155,685.3754387651654,695.6333196958223,2473.993892744196,819,2,2,37,28,414.466064806804,55000.0,818,819,2,77.5,0.2818181818181818,0.18925518925518925
PSO,result_nodes_550.json,550,550,414,0.7527272727272727,136,1112.5941880902872,757.8651460013067,2518.33409312955,607,2,2,37,31,294.8573465974122,55000.0,606,607,2,68.0,0.24727272727272728,0.22405271828665568
